files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0001.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0002.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0003.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0004.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0005.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0006.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0007.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0008.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0009.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0010.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0011.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0012.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0013.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0014.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0015.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0016.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0017.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0018.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0019.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0020.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0021.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0022.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0023.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0024.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0025.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0026.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0027.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0028.png; 1;4
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0029.png; 1;4
