files;actual_class;predicted_class
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0001.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0002.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0003.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0004.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0005.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0008.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0009.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0010.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0011.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0012.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0013.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0015.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0016.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0018.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0019.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0021.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0023.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0025.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0027.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0028.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0033.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0034.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0035.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0036.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0038.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0039.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0041.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0044.png; 1; 1
D:/GitHub/Datasets/Cifar10/test/airplane/airplane_0045.png; 1; 1
